cell_number,treatment,run,surviving_cells,max_virophage_amplitude,max_virus_amplitude,t_extinction
1,3,43,949,14812,1541,28851
1,3,88,1001,2048,733,16025
1,3,44,341,57158,5372,92031
1,3,10,992,2048,878,22273
1,3,28,964,6068,875,45390
1,3,17,659,46306,4461,100001
1,3,21,496,63075,6060,100001
1,3,19,1000,2048,601,15111
1,3,26,970,7330,1050,42337
1,3,45,907,16264,1525,69715
1,3,42,489,56549,5267,100001
1,3,89,996,4131,661,23007
1,3,80,1000,2048,702,18845
1,3,74,652,54650,5120,80298
1,3,73,560,46065,4275,100001
1,3,87,502,37702,3548,100001
1,3,18,585,31670,2974,100001
1,3,27,998,2048,788,21435
1,3,20,523,62192,5835,100001
1,3,29,1014,2048,587,12589
1,3,16,869,18460,1737,84631
1,3,11,466,59744,5719,99493
1,3,6,929,8949,1083,80066
1,3,1,449,56182,5183,100001
1,3,8,818,28541,2760,100001
1,3,9,1005,2435,676,13993
1,3,7,984,10054,989,27933
16,3,55,974,13783,1393,20911
16,3,99,990,2048,1158,12558
16,3,52,959,2048,1484,12221
16,3,64,985,2048,1319,13139
16,3,90,1022,2048,512,10939
16,3,97,877,31771,3561,28732
16,3,63,957,2048,1017,19362
16,3,37,922,31740,4065,17483
16,3,30,1021,2048,512,11282
16,3,39,1005,2048,603,13024
16,3,62,938,4282,1827,14990
16,3,96,1005,2048,763,10773
16,3,91,1020,2048,512,10942
16,3,65,1020,2048,512,10473
16,3,98,988,2048,745,17513
16,3,53,1020,2048,512,11232
16,3,54,973,2048,1658,13998
16,3,38,941,14847,2510,22299
16,3,31,975,2610,909,19076
16,3,36,1023,2048,511,10240
16,3,14,1005,2048,1254,11413
16,3,13,955,4323,2064,14050
16,3,25,989,7849,1725,16981
16,3,22,974,2048,1466,12305
16,3,76,989,2048,572,17359
16,3,82,990,2048,1188,15567
16,3,49,1020,2048,512,11099
16,3,85,1003,2048,588,12004
16,3,71,1022,2048,512,10171
16,3,47,1003,2048,1500,14453
16,3,78,1002,2048,512,14909
16,3,40,990,2048,914,11504
16,3,23,974,11222,1520,18127
16,3,24,925,12905,2093,24270
16,3,12,987,2048,918,12682
16,3,15,991,2048,703,11582
16,3,41,942,2048,2007,21564
16,3,46,992,2048,989,13833
16,3,79,953,2048,1967,16717
16,3,70,1022,2048,512,10753
16,3,84,1023,2048,512,11691
16,3,83,974,14564,1919,15407
16,3,77,1007,2048,598,10807
16,3,48,1021,2048,512,10177
16,3,2,951,2048,2927,14374
16,3,5,987,9309,1152,24394
16,3,4,1023,2048,512,9243
16,3,3,1019,2048,512,11295
16,3,100,828,14727,2455,38868
16,3,33,986,2048,1067,11369
16,3,34,988,2048,512,17381
16,3,51,909,14845,2862,22131
16,3,69,1006,2047,902,12144
16,3,56,940,11396,2297,17335
16,3,94,1019,2048,512,10828
16,3,60,987,2048,575,17740
16,3,58,731,51163,6016,30023
16,3,67,1004,2047,511,13208
16,3,93,987,2048,1085,12643
16,3,35,1008,2048,512,13682
16,3,32,944,14342,1848,22266
16,3,59,1003,2048,888,14354
16,3,92,1005,2047,1382,14960
16,3,66,990,2048,1258,13799
16,3,61,897,8235,2218,18873
16,3,95,971,11955,1764,15315
16,3,68,990,2048,1634,14088
16,3,57,1008,2048,941,12180
16,3,50,992,3150,1129,16657
16,3,86,1005,2048,772,11402
16,3,72,988,2048,1102,12486
16,3,75,987,2048,1627,15623
16,3,81,944,11753,1752,21301
16,3,43,1006,2048,943,10717
16,3,88,1007,2048,926,12531
16,3,44,1007,2048,963,12485
16,3,10,1023,2048,512,10331
16,3,28,1020,2048,512,11177
16,3,17,1006,2048,691,11843
16,3,21,973,2776,701,12029
16,3,19,1022,2048,512,10941
16,3,26,926,6996,1804,24249
16,3,45,991,12145,1460,13563
16,3,42,942,15460,2202,16632
16,3,89,1003,2048,710,11270
16,3,80,988,2048,1574,15627
16,3,74,907,20292,2003,26051
16,3,73,1004,2048,573,11710
16,3,87,1007,2048,512,17111
16,3,18,940,2048,1408,18213
16,3,27,1003,2048,916,13467
16,3,20,970,2048,1024,13851
16,3,29,940,2751,1112,19298
16,3,16,989,8748,1420,14246
16,3,11,989,12751,1681,13175
16,3,6,929,2048,2298,18318
16,3,1,1023,2048,512,12140
16,3,8,893,7302,1804,26262
16,3,9,989,2048,758,13031
16,3,7,877,47208,4190,28775
2,3,55,766,41350,3673,100001
2,3,99,998,2048,670,21389
2,3,52,989,2047,746,18435
2,3,64,1010,2048,680,11442
2,3,90,683,55218,5020,69530
2,3,97,1005,2048,647,12294
2,3,63,974,7789,945,24780
2,3,37,882,32097,2986,45606
2,3,30,998,2048,735,14787
2,3,39,813,31211,2827,81158
2,3,62,1003,2047,848,13683
2,3,96,1004,2047,578,13497
2,3,91,923,11952,1312,41549
2,3,65,993,2048,674,24582
2,3,98,1000,2048,512,17687
2,3,53,1001,2048,514,16353
2,3,54,990,2047,858,15449
2,3,38,1005,2048,677,23689
2,3,31,1012,2048,593,12929
2,3,36,914,20340,1883,62939
2,3,14,1013,2048,642,10962
2,3,13,922,17409,1685,40901
2,3,25,1013,2048,512,12932
2,3,22,936,14586,1601,41809
2,3,76,642,52422,4714,85447
2,3,82,918,20959,1948,40432
2,3,49,1008,2048,512,10965
